"gender","age_group","education_level","race_ethnicity","religion_level","income_bracket","job_status","individual_first_vote","individual_final_vote","group_first_vote_guilty","group_first_vote_not_guilty","group_first_vote_undecided","group_final_vote_guilty","group_final_vote_not_guilty","group_final_vote_undecided"
"Female","18-25","Some college","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,3,NA,NA,8,NA
"Female","56-65","High school graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,NA,NA,NA,NA,NA
"Female","36-45","Post-graduate work","White/Hispanic","Neither","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",NA,8,NA,NA,8,NA
"Male","56-65","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty",NA,0,8,NA,0,8,NA
"Male","26-35","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Not Guilty",NA,NA,NA,NA,NA,NA,NA
"Male","46-55","College graduate","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Employed full time","Undecided","Not Guilty",0,NA,NA,NA,9,NA
"Female","26-35","College graduate","White/Caucasian","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",0,NA,NA,NA,0,NA
"Male","26-35",NA,NA,NA,NA,"Employed full time","Not Guilty","Not Guilty",NA,2,NA,0,0,0
"Male","56-65","Some college","White/Hispanic","Somewhat non-religious","$30,000 - $39,999","Employed full time","Guilty","Not Guilty",4,2,2,0,0,0
"Female","18-25","High school graduate","White/Hispanic","Somewhat non-religious",NA,"Student","Guilty","Guilty",7,1,1,1,7,1
"Male","36-45","High school graduate","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Not Guilty",NA,5,2,NA,0,8,NA
"Female","18-25","High school graduate","White/Hispanic","Very religious","$20,000 - $29,999","Employed full time","Not Guilty","Not Guilty",4,2,2,0,8,NA
"Male","36-45","College graduate","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Guilty","Not Guilty",4,2,2,0,8,0
"Male","46-55","College graduate","White/Hispanic","Neither","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",4,2,2,NA,8,NA
"Female","26-35","High school graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Not Guilty",4,2,2,0,8,0
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",9,NA,2,11,NA,NA
"Female","36-45","College graduate","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",10,NA,2,12,NA,NA
"Female","56-65","Some college","Black/African American","Religious",NA,"Employed full time","Undecided","Guilty",10,NA,2,12,NA,NA
"Female","36-45","College graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed part time","Guilty","Guilty",8,4,0,12,0,0
"Male","56-65","Some college","White/Hispanic","Very religious","$50,000 - $75,000","Self-employed","Guilty","Guilty",8,4,NA,12,0,NA
"Male","26-35","Some college","Native American","Religious","Over $75,000","Employed full time","Guilty",NA,8,2,2,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Female","46-55","Some college","White/Hispanic",NA,"$50,000 - $75,000","Homemaker","Guilty","Guilty",8,0,4,12,0,0
"Male","36-45","Post-graduate work","White/Caucasian","Very non-religious","Over $75,000","Employed full time","Undecided","Guilty",8,NA,4,12,NA,NA
"Male","26-35","College graduate","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",NA,NA,NA,12,NA,NA
"Female","36-45","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",8,NA,4,12,NA,NA
"Male","26-35","Post-graduate work","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",8,0,4,12,0,0
"Male","56-65","High school graduate","White/Caucasian","Religious",NA,"Student","Not Guilty","Not Guilty",4,8,NA,NA,12,NA
"Female","46-55","Some college","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Not Guilty",4,8,NA,NA,12,NA
"Female","26-35","Some college","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",4,8,NA,12,NA,NA
"Male","46-55","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",4,8,NA,0,12,NA
"Male","36-45","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",4,8,NA,NA,12,NA
"Male","56-65","High school graduate","White/Hispanic","Neither","$40,000 - $49,999","Student","Guilty","Not Guilty",NA,NA,NA,NA,12,NA
"Male","18-25","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",4,8,NA,0,12,NA
"Female","Over 65","Some college","White/Hispanic","Very religious","$50,000 - $75,000","Student","Not Guilty","Not Guilty",4,8,NA,NA,12,NA
"Female","56-65","High school graduate","White/Hispanic","Religious","Over $75,000","Student","Not Guilty","Not Guilty",4,8,NA,NA,12,NA
"Male","26-35","Some college","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Not Guilty",4,8,NA,0,12,NA
"Male","26-35","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty",NA,4,8,NA,0,12,NA
"Male","26-35","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",4,8,NA,0,12,NA
NA,"18-25","Some college","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",5,3,NA,8,0,0
"Female","56-65","Some college","White/Hispanic","Neither","Over $75,000",NA,"Guilty","Guilty",5,3,0,8,0,0
NA,"Over 65","Some college","White/Hispanic","Neither","$20,000 - $29,999","Student",NA,NA,5,3,NA,8,NA,NA
"Male","36-45","Some college","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",5,2,1,8,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",5,3,0,5,3,0
"Male","56-65","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",5,3,NA,8,0,NA
"Male","46-55","Some college","White/Hispanic","Neither","Over $75,000","Self-employed","Guilty","Guilty",5,3,0,8,0,0
"Female","18-25","Post-graduate work","White/Hispanic","Religious","$20,000 - $29,999","Employed full time","Undecided","Guilty",5,3,NA,8,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty",NA,10,0,2,12,0,0
"Female","36-45","Post-graduate work","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,NA,NA,NA
"Male","26-35","High school graduate","Native American","Neither","$10,000 - $19,999","Employed part time","Undecided","Undecided",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Undecided","Undecided",NA,NA,NA,NA,NA,NA
"Male","36-45","College graduate","Nonwhite/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",NA,NA,NA,NA,NA,NA
"Female","26-35","Some college","White/Caucasian","Neither","$20,000 - $29,999","Employed part time","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Female","18-25","College graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",8,NA,4,12,NA,NA
"Male","26-35","Some college",NA,"Very religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",8,0,4,12,0,0
"Female","46-55","Some college","White/Hispanic","Religious","Over $75,000","Self-employed","Guilty","Guilty",8,NA,4,12,NA,NA
"Female","36-45","Some college",NA,NA,NA,NA,"Guilty",NA,NA,NA,NA,12,NA,NA
"Male","46-55","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",9,3,NA,12,NA,NA
"Male","Over 65","Some college","White/Hispanic","Neither","$30,000 - $39,999","Student","Not Guilty","Guilty",10,2,NA,12,0,NA
"Male","36-45","Some college","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,4,12,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Very religious",NA,"Employed full time","Guilty","Guilty",8,NA,4,12,NA,NA
"Male","26-35","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,3,1,12,NA,NA
"Male","26-35","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,4,12,NA,NA
"Male","26-35","College graduate","White/Caucasian","Religious","Over $75,000","Employed full time","Guilty","Guilty",7,0,5,12,0,0
"Male","56-65","Some college","White/Caucasian","Very non-religious","$40,000 - $49,999","Student","Not Guilty","Not Guilty",1,7,NA,NA,8,NA
"Female","36-45","Some college","Asian/Pacific Islander","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",1,7,NA,NA,8,NA
"Female","56-65","Some college","White/Hispanic","Religious","Over $75,000","Self-employed","Not Guilty","Not Guilty",7,1,NA,8,NA,NA
"Female","36-45","Some college","Native American","Neither","$50,000 - $75,000","Employed full time","Not Guilty",NA,0,7,1,0,8,NA
"Female","46-55","Less than high school","White/Hispanic","Somewhat non-religious","$20,000 - $29,999","Employed full time","Not Guilty",NA,1,7,NA,NA,8,NA
"Male","46-55","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",NA,7,1,NA,8,NA
"Female","36-45","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty",NA,1,7,NA,NA,8,NA
"Female","26-35","College graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,7,1,0,8,0
"Female","36-45","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Female","56-65","College graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Student","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","36-45","High school graduate","Asian/Pacific Islander","Neither","$30,000 - $39,999","Employed full time","Undecided","Not Guilty",NA,NA,NA,0,8,0
"Female","46-55","College graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Male","Over 65","Some college","White/Hispanic","Religious","$50,000 - $75,000","Student","Not Guilty","Not Guilty",NA,NA,NA,0,8,0
"Female","46-55","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Undecided",0,8,0,NA,NA,NA
"Male","18-25","Some college","Nonwhite/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Female","36-45","Some college",NA,"Religious",NA,"Employed full time","Not Guilty","Not Guilty",0,8,0,0,8,0
"Female","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Unemployed, and a student","Guilty","Guilty",7,NA,1,8,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Undecided","Guilty",7,0,1,8,0,0
"Female","36-45","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",7,NA,1,8,NA,NA
"Female","56-65","High school graduate","White/Hispanic","Religious","$50,000 - $75,000","Student","Guilty","Guilty",7,NA,1,8,NA,NA
"Female","46-55","Some college","White/Caucasian","Very religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","36-45","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","26-35","Post-graduate work","White/Hispanic","Very religious","Over $75,000","Employed full time","Undecided","Guilty",6,NA,2,8,NA,NA
NA,"Over 65","College graduate","White/Hispanic","Religious","Over $75,000","Student","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","56-65","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","46-55","High school graduate","White/Hispanic","Religious","$10,000 - $19,999","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","56-65","Post-graduate work","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",1,NA,NA,8,NA,NA
"Female","26-35","College graduate","Black/African American","Religious","Over $75,000","Employed full time","Guilty","Guilty",1,NA,7,8,NA,NA
"Male","Over 65","Some college","White/Hispanic","Somewhat non-religious","$30,000 - $39,999","Student","Guilty",NA,8,NA,NA,8,NA,NA
"Female","56-65","High school graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","Over 65","College graduate","White/Hispanic","Religious","Over $75,000","Student","Guilty",NA,8,NA,NA,NA,NA,NA
"Male","Over 65","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Student","Guilty","Guilty",8,NA,NA,8,NA,NA
"Female","26-35","Less than high school","Nonwhite/Hispanic","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",8,NA,NA,8,NA,NA
"Male","36-45","Some college","White/Hispanic","Religious","Over $75,000","Self-employed","Guilty",NA,NA,NA,NA,8,NA,NA
"Male","Over 65","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Undecided","Guilty",3,3,2,8,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,8,0,NA
"Male","46-55","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",4,NA,4,8,NA,NA
"Female","56-65","Some college","White/Hispanic","Religious","Over $75,000","Employed part time","Guilty","Guilty",7,NA,1,8,NA,NA
"Male","36-45","College graduate","White/Hispanic","Very non-religious","$40,000 - $49,999","Employed full time","Guilty",NA,4,NA,4,8,NA,NA
"Male","46-55","College graduate","White/Caucasian","Neither","Over $75,000","Employed full time","Guilty","Guilty",4,4,NA,8,NA,NA
"Male","26-35","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",0,11,1,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty",NA,NA,11,NA,NA,NA,NA
"Female","18-25","College graduate","White/Hispanic","Religious","Under $10,000","Employed full time","Not Guilty","Not Guilty",NA,11,1,NA,12,NA
"Male","46-55","College graduate","White/Hispanic","Very religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",NA,11,1,NA,12,NA
"Female","36-45","Some college","Nonwhite/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",NA,11,1,NA,12,NA
"Female","18-25","Post-graduate work","White/Hispanic","Religious","$10,000 - $19,999","Employed full time","Undecided","Not Guilty",NA,11,1,0,12,0
"Male","26-35","Some college","White/Hispanic","Very non-religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",NA,11,1,NA,12,NA
"Female","Over 65","Less than high school","White/Hispanic","Neither","Under $10,000",NA,"Not Guilty",NA,NA,12,1,NA,12,NA
"Male","18-25","Some college","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",0,10,2,0,12,0
"Female","26-35","Some college","White/Hispanic","Neither","$20,000 - $29,999","Employed full time","Not Guilty",NA,NA,11,1,NA,12,NA
"Male","Over 65","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Student","Guilty",NA,NA,12,1,NA,12,NA
"Female","26-35","Post-graduate work","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",0,11,1,0,11,1
"Female","Over 65","Some college","White/Hispanic","Religious","Over $75,000","Homemaker","Undecided","Guilty",NA,NA,NA,NA,NA,NA
"Male","46-55","Some college","White/Hispanic","Religious","Over $75,000","Student","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","Some college","Native American","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","46-55","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",10,NA,2,12,NA,NA
"Female","18-25","Some college","Nonwhite/Hispanic","Somewhat non-religious","$10,000 - $19,999","Employed full time","Guilty","Guilty",10,NA,2,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Female","46-55","Some college","White/Hispanic","Very religious","$50,000 - $75,000","Unemployed, seeking employment","Guilty",NA,12,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"College graduate","Black/African American","Religious","$50,000 - $75,000","Employed full time",NA,NA,NA,NA,NA,12,NA,NA
"Female","56-65","Some college","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","36-45","Some college","White/Caucasian","Very non-religious","$30,000 - $39,999","Employed full time","Not Guilty","Guilty",NA,12,NA,12,NA,NA
"Female","26-35","College graduate","White/Caucasian","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",12,0,NA,12,0,NA
"Female","18-25","High school graduate","White/Caucasian","Neither","$30,000 - $39,999","Employed full time","Not Guilty","Guilty",12,0,0,12,0,0
"Male","26-35","Some college","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","46-55","Some college","White/Hispanic","Somewhat non-religious","$30,000 - $39,999","Employed full time","Undecided","Undecided",12,NA,NA,NA,12,NA
"Female","56-65","Some college","White/Hispanic","Religious","$50,000 - $75,000","Student","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","College graduate","White/Hispanic",NA,"$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",0,12,0,0,12,0
"Male","36-45","Some college","White/Hispanic","Religious","$50,000 - $75,000","Self-employed","Guilty","Guilty",12,0,0,12,0,0
"Male","36-45","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty",NA,12,0,NA,12,0,NA
"Female","46-55","Some college","Black/African American","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",NA,12,NA,12,NA,NA
NA,"46-55","Some college","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Undecided","Guilty",6,2,8,8,NA,NA
"Female","56-65","High school graduate","Nonwhite/Hispanic","Neither","Over $75,000","Student","Guilty","Guilty",6,2,NA,8,NA,NA
"Female","46-55","Some college","White/Hispanic","Very religious","Over $75,000","Self-employed","Guilty","Guilty",6,2,NA,8,0,NA
"Male","36-45","Post-graduate work","White/Hispanic","Religious",NA,"Employed full time","Guilty","Guilty",6,2,0,8,0,0
"Female","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",6,2,NA,8,NA,NA
"Female","36-45","College graduate","White/Hispanic","Very religious","Over $75,000","Employed full time","Guilty","Guilty",6,2,NA,8,0,NA
"Female","36-45","College graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Not Guilty","Undecided",5,3,NA,6,NA,2
"Male","26-35","Some college","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Guilty","Guilty",6,NA,2,8,NA,NA
"Female","36-45","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",NA,NA,NA,12,0,NA
"Female","36-45","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",3,9,NA,12,0,NA
"Male","36-45","High school graduate","White/Hispanic","Religious","Over $75,000","Self-employed",NA,NA,7,NA,5,12,NA,NA
"Female","56-65","Post-graduate work","White/Hispanic","Neither","Over $75,000","Self-employed","Guilty","Guilty",4,4,4,12,0,0
"Male","46-55","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",4,6,2,12,0,NA
"Female","46-55","Some college","White/Hispanic","Religious","$40,000 - $49,999","Unemployed, not seeking employment","Guilty","Guilty",4,4,4,12,0,0
"Female","56-65","College graduate","White/Caucasian","Very religious","$50,000 - $75,000","Student","Undecided","Guilty",6,6,0,12,NA,NA
"Female","46-55","High school graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Undecided",NA,NA,NA,0,NA,NA,NA
"Male","36-45","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",NA,NA,NA,NA,NA,NA
"Male","18-25","Some college","White/Hispanic","Neither","$10,000 - $19,999","Employed full time","Not Guilty","Guilty",7,5,0,12,0,0
NA,NA,NA,NA,NA,NA,NA,"Guilty","Not Guilty",2,NA,NA,NA,NA,NA
"Female",NA,NA,NA,NA,NA,NA,"Undecided","Not Guilty",NA,NA,NA,NA,8,NA
"Female","Over 65","Some college","White/Hispanic","Religious","Over $75,000","Student","Not Guilty","Not Guilty",7,4,2,NA,8,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty","Not Guilty",2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Female","56-65","High school graduate","White/Hispanic","Very religious",NA,NA,NA,"Not Guilty",2,2,4,NA,NA,NA
"Male","36-45","Post-graduate work","White/Hispanic","Neither","Over $75,000","Self-employed","Guilty",NA,NA,NA,NA,NA,NA,NA
"Female","36-45","Post-graduate work","White/Hispanic","Religious","Over $75,000","Self-employed","Guilty","Guilty",NA,NA,NA,12,0,0
"Female","46-55","Post-graduate work","White/Hispanic","Very religious","Over $75,000","Employed full time","Guilty","Guilty",12,0,NA,12,0,NA
"Male","46-55","Some college","White/Hispanic","Very religious","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","36-45","High school graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,0,0,12,0,0
"Female","36-45","High school graduate","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty",NA,12,NA,NA,12,NA,NA
"Female","56-65","College graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed part time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","36-45","College graduate","Native American","Religious","Over $75,000","Employed full time","Guilty","Guilty",12,0,NA,12,0,NA
"Female","46-55","Post-graduate work","White/Hispanic","Neither","Over $75,000","Employed part time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","36-45","Post-graduate work","White/Hispanic","Very non-religious","Over $75,000","Employed full time","Undecided","Guilty",12,0,NA,12,0,NA
"Male","56-65","Some college","White/Hispanic","Religious","$40,000 - $49,999","Unemployed, seeking employment","Undecided","Guilty",NA,NA,0,12,NA,NA
"Female","46-55","Some college","White/Hispanic","Neither","Over $75,000","Employed full time","Guilty","Not Guilty",3,4,1,0,8,0
"Male","56-65","Post-graduate work","White/Hispanic","Neither","Over $75,000","Student","Guilty","Not Guilty",3,3,2,NA,8,NA
"Male","18-25","Some college","Nonwhite/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty","Not Guilty",NA,NA,NA,8,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","36-45","College graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Not Guilty",3,4,1,0,8,NA
"Female","46-55","College graduate","White/Hispanic","Religious","Over $75,000","Self-employed","Not Guilty","Not Guilty",4,3,1,0,12,0
"Male","36-45","High school graduate","White/Caucasian","Neither","Over $75,000","Employed full time","Not Guilty","Not Guilty",4,4,NA,0,8,NA
"Female","36-45","High school graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",3,4,1,NA,8,NA
"Male","18-25","Some college","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,0,0,9,0,3
"Female","46-55","Some college","White/Caucasian","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Female","36-45","Less than high school","Nonwhite/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,0,0,12,0,0
"Male","36-45","College graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,12,0,0
"Male","36-45","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",10,2,NA,12,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic",NA,NA,"Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","College graduate","White/Hispanic","Neither","$30,000 - $39,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","26-35","College graduate","Nonwhite/Hispanic","Very non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Female","36-45","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,0,0,12,0,0
"Female","Over 65","College graduate","White/Hispanic","Religious","$40,000 - $49,999","Student","Guilty",NA,10,NA,2,12,NA,NA
"Male","26-35","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","Over 65","Post-graduate work","Black/African American","Religious","$40,000 - $49,999","Student","Guilty","Guilty",12,0,0,12,0,0
"Male","56-65","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",6,2,NA,8,0,NA
"Female","36-45","Some college","White/Caucasian","Religious","$20,000 - $29,999","Employed full time","Not Guilty","Guilty",9,3,NA,11,1,NA
"Male","36-45","College graduate","White/Hispanic","Religious","Over $75,000","Self-employed","Guilty","Guilty",9,3,NA,12,0,NA
"Male","46-55","Some college","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",8,4,NA,12,NA,NA
"Female","56-65","Post-graduate work","White/Hispanic","Very religious","$50,000 - $75,000","Student","Guilty","Guilty",10,2,NA,12,NA,NA
"Male","36-45","Some college","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",9,3,0,12,NA,NA
"Female","Over 65","Some college","White/Hispanic","Religious","$40,000 - $49,999","Student","Not Guilty","Undecided",NA,3,NA,11,1,NA
"Male","36-45","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",9,3,0,12,0,0
"Female","46-55",NA,"White/Hispanic","Religious",NA,"Employed full time","Not Guilty","Guilty",9,3,NA,12,12,NA
"Female","46-55","Some college","White/Hispanic","Religious","Over $75,000","Homemaker","Not Guilty","Guilty",8,4,NA,11,1,NA
"Male","18-25","Less than high school","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",8,4,NA,NA,NA,NA
"Male","26-35","Some college","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",7,5,NA,12,NA,NA
"Male","18-25","High school graduate","White/Caucasian","Religious","Under $10,000","Employed part time","Undecided","Guilty",NA,NA,NA,NA,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",7,0,1,0,8,0
NA,"Over 65","Less than high school","White/Hispanic","Neither","$20,000 - $29,999","Student","Not Guilty","Not Guilty",0,7,1,NA,8,NA
"Male","Over 65","Post-graduate work","White/Hispanic","Religious","Over $75,000","Self-employed","Guilty","Not Guilty",NA,7,1,NA,8,NA
